time,link
2022-01-17,https://www.cnbc.com/2022/01/17/chinese-yuan-under-pressure-from-medium-term-loans-cut-strategist.html
2022-01-17,https://www.cnbc.com/2022/01/17/davos-chinas-xi-says-countries-must-abandon-cold-war-mentality.html
2022-01-17,https://www.cnbc.com/2022/01/17/oxfam-on-covid-inequality-tax-rich-to-pay-for-vaccines-protect-climate.html
2022-01-18,https://www.cnbc.com/2022/01/18/china-looks-to-boost-techs-share-of-gdp-by-2025-through-6g-big-data.html
2022-01-18,https://www.cnbc.com/2022/01/18/bank-of-japan-raises-price-outlook-but-maintains-ultra-easy-policy-.html
2022-01-18,https://www.cnbc.com/2022/01/18/turkish-mobile-gaming-startup-dream-games-raises-255-million.html
2022-01-18,https://www.cnbc.com/2022/01/18/larry-fink-next-1000-billion-dollar-start-ups-will-be-in-climate-tech.html
2022-01-18,https://www.cnbc.com/2022/01/18/chinas-digital-yuan-notches-8point3-billion-transactions-in-half-a-year.html
2022-01-18,https://www.cnbc.com/2022/01/18/indonesia-passes-law-to-relocate-capital-to-remote-borneo.html
2022-01-18,https://www.cnbc.com/2022/01/18/blackrock-ceo-shares-trends-that-will-shape-world-of-work-in-2022.html
2022-01-18,https://www.cnbc.com/2022/01/18/blackrock-ceo-larry-finks-support-for-fossil-fuels-criticized.html
2022-01-19,https://www.cnbc.com/2022/01/19/biden-backs-federal-reserve-chair-jerome-powell-policy-tightening-plan.html
2022-01-19,https://www.cnbc.com/2022/01/19/microsoft-activision-what-satya-nadella-has-said-about-the-metaverse.html
2022-01-19,https://www.cnbc.com/2022/01/19/stock-market-futures-open-to-close-news.html
2022-01-19,https://www.cnbc.com/2022/01/19/first-on-cnbc-cnbc-transcript-bank-of-america-chairman-ceo-brian-moynihan-speaks-with-cnbcs-closing-bell-today.html
2022-01-19,https://www.cnbc.com/2022/01/19/bunds-german-10-year-bind-yield-trades-in-positive-territory-.html
2022-01-19,https://www.cnbc.com/2022/01/19/cnbc-exclusive-cnbc-transcript-verizon-ceo-hans-vestberg-speaks-with-cnbcs-squawk-box-today.html
2022-01-19,https://www.cnbc.com/2022/01/19/biden-defends-his-first-year-record-as-agenda-stalls-i-didnt-overpromise-.html
2022-01-19,https://www.cnbc.com/2022/01/19/biden-expects-putin-will-order-ukraine-invasion-vows-disaster-for-russia.html
2022-01-20,https://www.cnbc.com/2022/01/20/official-chinas-factories-face-downward-pressure-in-first-quarter.html
2022-01-20,https://www.cnbc.com/2022/01/20/china-economy-exports-seen-as-growth-driver-domestic-market-is-weak-.html
2022-01-20,https://www.cnbc.com/2022/01/20/bill-gates-john-kerry-call-for-urgent-private-sector-climate-action.html
2022-01-20,https://www.cnbc.com/2022/01/20/yellen-defends-biden-economic-record-says-she-sees-path-to-slower-inflation.html
2022-01-20,https://www.cnbc.com/2022/01/20/china-economy-pboc-cuts-loan-prime-rates-lpr-for-1-year-5-year.html
2022-01-20,https://www.cnbc.com/2022/01/20/americans-say-they-need-to-earn-122000-to-feel-financially-healthy.html
2022-01-20,https://www.cnbc.com/2022/01/20/tudor-portfolio-manager-on-where-shes-finding-alpha-in-the-tech-sector-with-rising-rates.html
2022-01-20,https://www.cnbc.com/2022/01/20/peloton-to-pause-production-of-its-bikes-treadmills-as-demand-wanes.html
2022-01-21,https://www.cnbc.com/2022/01/21/imf-chinas-zero-covid-policy-a-burden-to-domestic-and-global-economy.html
2022-01-21,https://www.cnbc.com/2022/01/21/the-dust-has-settled-on-cop26-now-the-hard-work-begins.html
2022-01-21,https://www.cnbc.com/2022/01/21/central-banks-asleep-at-the-wheel-as-inflation-spirals-brazils-guedes.html
2022-01-21,https://www.cnbc.com/2022/01/21/imf-chief-fed-rate-hike-could-throw-cold-water-on-economic-recovery.html
2022-01-21,https://www.cnbc.com/2022/01/21/gm-to-spend-6point5-billion-add-4000-jobs-at-michigan-ev-factories.html
2022-01-21,https://www.cnbc.com/2022/01/21/a-lasting-market-downturn-can-be-big-risk-early-in-your-retirement.html
2022-01-21,https://www.cnbc.com/2022/01/21/the-biggest-2022-travel-trend-go-big-spend-big-on-bucket-list-trips.html
2022-01-21,https://www.cnbc.com/2022/01/21/pacific-islands-zero-covid-strategies-unsustainable-professor-says.html
2022-01-24,https://www.cnbc.com/2022/01/24/fed-rate-hikes-will-intensify-a-global-debt-crisis-research-warns.html
2022-01-24,https://www.cnbc.com/2022/01/24/chinas-zero-covid-policy-could-be-weighing-on-currencies-across-the-globe.html
2022-01-24,https://www.cnbc.com/2022/01/24/chinas-consumers-spent-73point6-billion-on-luxury-goods-at-home-in-2021.html
2022-01-24,https://www.cnbc.com/2022/01/24/russian-stocks-sink-ruble-plunges-as-conflict-fears-intensify.html
2022-01-24,https://www.cnbc.com/2022/01/24/tadawul-all-share-index-saudi-arabias-index-is-at-15-year-highs.html
2022-01-24,https://www.cnbc.com/2022/01/24/sri-lankas-central-bank-governor-says-imf-relief-is-not-necessary.html
2022-01-24,https://www.cnbc.com/2022/01/24/stocks-are-facing-both-earnings-headwinds-and-a-compression-in-the-p/e-ratio.html
2022-01-24,https://www.cnbc.com/2022/01/24/netflix-shares-fall-to-lowest-since-april-2020-on-subscriber-concern.html
2022-01-25,https://www.cnbc.com/2022/01/25/imf-cuts-global-growth-outlook-for-2022-us-and-china-recovery-wanes.html
2022-01-25,https://www.cnbc.com/2022/01/25/singapores-central-bank-tightens-monetary-policy-on-inflation-risks.html
2022-01-25,https://www.cnbc.com/2022/01/25/cnbc-fed-survey-forecasts-more-aggressive-fed-but-better-economic-growth.html
2022-01-25,https://www.cnbc.com/2022/01/25/south-koreas-gdp-growth-hit-11-year-high-in-2021-as-exports-boom.html
2022-01-25,https://www.cnbc.com/2022/01/25/mckinsey-calculates-capital-spending-required-to-reach-net-zero-by-2050.html
2022-01-25,https://www.cnbc.com/2022/01/25/now-is-not-the-time-to-panic-with-your-401k-try-these-moves-instead.html
2022-01-25,https://www.cnbc.com/2022/01/25/long-term-investors-shouldnt-worry-too-much-about-stocks-being-10percent-off-their-highs.html
2022-01-25,https://www.cnbc.com/2022/01/25/activist-investors-greenwashing-backlash-change-is-coming-to-business.html
